rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
14/03/2025 12:08,2024,2023,A,London Area Airports,LONDON CITY,MANCHESTER,49,0,49,100,0,100,-51
14/03/2025 12:08,2024,2023,A,London Area Airports,LONDON CITY,SOUTHAMPTON,0,0,0,93,93,0,-100
14/03/2025 12:08,2024,2023,A,London Area Airports,LONDON CITY,SUMBURGH,0,0,0,35,35,0,-100
14/03/2025 12:08,2024,2023,A,London Area Airports,LUTON,ABERDEEN,71285,71285,0,80169,80169,0,-11.08159
14/03/2025 12:08,2024,2023,A,London Area Airports,LUTON,BELFAST CITY (GEORGE BEST),67350,67350,0,30650,30650,0,119.73899
14/03/2025 12:08,2024,2023,A,London Area Airports,LUTON,BELFAST INTERNATIONAL,349747,349747,0,364837,364837,0,-4.13609
14/03/2025 12:08,2024,2023,A,London Area Airports,LUTON,BIRMINGHAM,95,95,0,0,0,0,0
14/03/2025 12:08,2024,2023,A,London Area Airports,LUTON,BRISTOL,179,179,0,0,0,0,0
14/03/2025 12:08,2024,2023,A,London Area Airports,LUTON,EAST MIDLANDS INTERNATIONAL,177,177,0,0,0,0,0
14/03/2025 12:08,2024,2023,A,London Area Airports,LUTON,EDINBURGH,338792,338792,0,313448,313448,0,8.08555
14/03/2025 12:08,2024,2023,A,London Area Airports,LUTON,GLASGOW,254923,254923,0,235998,235998,0,8.01914
14/03/2025 12:08,2024,2023,A,London Area Airports,LUTON,INVERNESS,141193,141193,0,150135,150135,0,-5.95597
14/03/2025 12:08,2024,2023,A,London Area Airports,LUTON,ISLE OF MAN,1782,1782,0,0,0,0,0
14/03/2025 12:08,2024,2023,A,London Area Airports,LUTON,JERSEY,102207,102207,0,101451,101451,0,0.74519
14/03/2025 12:08,2024,2023,A,London Area Airports,LUTON,LIVERPOOL (JOHN LENNON),0,0,0,374,374,0,-100
14/03/2025 12:08,2024,2023,A,London Area Airports,LUTON,LONDON CITY,0,0,0,203,203,0,-100
14/03/2025 12:08,2024,2023,A,London Area Airports,LUTON,MANCHESTER,134,134,0,255,113,142,-47.45098
14/03/2025 12:08,2024,2023,A,London Area Airports,LUTON,NORWICH,2,0,2,0,0,0,0
14/03/2025 12:08,2024,2023,A,London Area Airports,LUTON,SOUTHAMPTON,3,3,0,0,0,0,0
14/03/2025 12:08,2024,2023,A,London Area Airports,LUTON,STANSTED,5,5,0,5,5,0,0
14/03/2025 12:08,2024,2023,A,London Area Airports,SOUTHEND,BELFAST CITY (GEORGE BEST),39,39,0,0,0,0,0
14/03/2025 12:08,2024,2023,A,London Area Airports,SOUTHEND,EDINBURGH,74,74,0,0,0,0,0
14/03/2025 12:08,2024,2023,A,London Area Airports,SOUTHEND,GLASGOW,45,45,0,0,0,0,0
14/03/2025 12:08,2024,2023,A,London Area Airports,SOUTHEND,GUERNSEY,250,250,0,0,0,0,0
14/03/2025 12:08,2024,2023,A,London Area Airports,SOUTHEND,ISLE OF MAN,0,0,0,13,13,0,-100
14/03/2025 12:08,2024,2023,A,London Area Airports,SOUTHEND,LIVERPOOL (JOHN LENNON),0,0,0,45,0,45,-100
14/03/2025 12:08,2024,2023,A,London Area Airports,SOUTHEND,NEWQUAY,72,72,0,0,0,0,0
14/03/2025 12:08,2024,2023,A,London Area Airports,STANSTED,ABERDEEN,0,0,0,99,99,0,-100
14/03/2025 12:08,2024,2023,A,London Area Airports,STANSTED,BELFAST INTERNATIONAL,569257,569219,38,489477,489477,0,16.29903
14/03/2025 12:08,2024,2023,A,London Area Airports,STANSTED,BIRMINGHAM,0,0,0,349,349,0,-100
14/03/2025 12:08,2024,2023,A,London Area Airports,STANSTED,BOURNEMOUTH,81,0,81,0,0,0,0
14/03/2025 12:08,2024,2023,A,London Area Airports,STANSTED,BRISTOL,0,0,0,180,180,0,-100
14/03/2025 12:08,2024,2023,A,London Area Airports,STANSTED,CITY OF DERRY (EGLINTON),0,0,0,19108,19108,0,-100
14/03/2025 12:08,2024,2023,A,London Area Airports,STANSTED,EAST MIDLANDS INTERNATIONAL,112,112,0,180,180,0,-37.77778
14/03/2025 12:08,2024,2023,A,London Area Airports,STANSTED,EDINBURGH,693953,693690,263,599950,599950,0,15.66847
14/03/2025 12:08,2024,2023,A,London Area Airports,STANSTED,GLASGOW,224605,224605,0,228389,228229,160,-1.65682
14/03/2025 12:08,2024,2023,A,London Area Airports,STANSTED,GUERNSEY,9102,9102,0,0,0,0,0
14/03/2025 12:08,2024,2023,A,London Area Airports,STANSTED,HEATHROW,266,266,0,75,75,0,254.66667
14/03/2025 12:08,2024,2023,A,London Area Airports,STANSTED,INVERNESS,144,0,144,140,0,140,2.85714
14/03/2025 12:08,2024,2023,A,London Area Airports,STANSTED,JERSEY,0,0,0,3626,3626,0,-100
14/03/2025 12:08,2024,2023,A,London Area Airports,STANSTED,MANCHESTER,893,893,0,120,120,0,644.16667
14/03/2025 12:08,2024,2023,A,London Area Airports,STANSTED,NEWQUAY,36115,36115,0,27280,27280,0,32.38636
14/03/2025 12:08,2024,2023,A,London Area Airports,STANSTED,PRESTWICK,160,160,0,0,0,0,0
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,BELFAST CITY (GEORGE BEST),18475,18475,0,20359,20359,0,-9.25389
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,BELFAST INTERNATIONAL,33,33,0,189,189,0,-82.53968
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,BIRMINGHAM,54215,54215,0,53421,53421,0,1.48631
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,BRISTOL,14360,14360,0,16231,16231,0,-11.52732
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,CARDIFF WALES,0,0,0,1,0,1,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,CITY OF DERRY (EGLINTON),0,0,0,27,27,0,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,DUNDEE,39,39,0,0,0,0,0
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,EAST MIDLANDS INTERNATIONAL,27,0,27,0,0,0,0
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,EDINBURGH,135,135,0,169,169,0,-20.11834
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,GLASGOW,258,258,0,72,57,15,258.33333
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,GUERNSEY,0,0,0,358,90,268,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,HUMBERSIDE,10510,10510,0,10737,10737,0,-2.11418
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,INVERNESS,502,502,0,0,0,0,0
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,KIRKWALL,38390,38281,109,43291,43273,18,-11.32106
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,LIVERPOOL (JOHN LENNON),0,0,0,177,177,0,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,MANCHESTER,62211,62211,0,71549,71549,0,-13.0512
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,NEWCASTLE,2926,2926,0,14397,14397,0,-79.67632
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,NEWQUAY,15652,15604,48,12412,12412,0,26.10377
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,NORWICH,29648,29648,0,32898,32898,0,-9.87902
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,SOUTHAMPTON,2049,2049,0,6115,6115,0,-66.49223
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,STORNOWAY,9,9,0,16,0,16,-43.75
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,SUMBURGH,126594,64487,62107,100792,68443,32349,25.59925
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,TEESSIDE INTERNATIONAL AIRPORT,9229,9229,0,14293,14231,62,-35.42993
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ABERDEEN,WICK JOHN O GROATS,9836,9836,0,10785,10785,0,-8.79926
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ALDERNEY,GUERNSEY,30835,30835,0,32228,32228,0,-4.32233
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ALDERNEY,JERSEY,28,28,0,104,104,0,-73.07692
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,ALDERNEY,SOUTHAMPTON,16873,16873,0,17214,17214,0,-1.98095
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BARRA,GLASGOW,11057,11057,0,12836,12836,0,-13.85946
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BARRA,TIREE,0,0,0,13,13,0,-100
14/03/2025 12:08,2024,2023,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),BELFAST INTERNATIONAL,0,0,0,11,11,0,-100
