origin_iata,dest_iata,annual_pax
ABI,MOB,75
ABI,MSL,253
ABI,MSO,57
ABI,MSY,75
ABI,ORD,68
ABI,PHX,123
ABI,PIA,69
ABI,PNS,75
ABI,PUW,257
ABI,PVD,264
ABI,RAP,9
ABI,RNO,286
ABI,SAN,347
ABI,SGF,59
ABI,SGU,254
ABI,SKA,66
ABI,SLC,128
ABI,SPS,72
ABI,TUL,64
ABI,TUP,29
ABI,YUM,159
ABL,AET,36
ABL,BTT,40
ABL,FAI,141
ABL,HSL,35
ABL,HUS,27
ABL,IAN,170
ABL,KVL,5
ABL,OBU,997
ABL,ORV,156
ABL,OTZ,3088
ABL,RDB,644
ABL,SHG,2221
ABL,WLK,114
ABL,WTK,7
ABQ,ADW,77
ABQ,AEX,80
ABQ,AMA,426
ABQ,ATL,299858
ABQ,AUS,165827
ABQ,AXX,109
ABQ,BNA,625
ABQ,BOI,72
ABQ,BOS,609
ABQ,BUR,74143
ABQ,BWI,112605
ABQ,BZN,640
ABQ,CHS,278
ABQ,CLE,94
ABQ,CLT,568
ABQ,CNM,5337
ABQ,COS,1349
ABQ,CRP,142
ABQ,DAL,380970
ABQ,DCA,71
ABQ,DEN,657149
ABQ,DFW,609778
ABQ,DMN,12
ABQ,DRO,59
ABQ,DTW,516
ABQ,ELP,812
ABQ,EWR,350
ABQ,FAT,538
ABQ,FLL,941
ABQ,FNL,319
ABQ,FTW,591
ABQ,HOU,227095
ABQ,HSV,167
ABQ,IAD,145
ABQ,IAH,203186
ABQ,ICT,141
ABQ,IFP,2283
ABQ,IND,345
ABQ,JFK,70575
ABQ,LAR,272
ABQ,LAS,493255
ABQ,LAW,74
ABQ,LAX,291040
ABQ,LBB,380
ABQ,LFT,626
ABQ,LGB,62150
ABQ,LGU,326
ABQ,LRU,3474
ABQ,MAF,40
ABQ,MCI,77761
ABQ,MCO,20040
ABQ,MDW,140899
ABQ,MEM,738
ABQ,MGM,165
ABQ,MIA,333
ABQ,MKE,317
ABQ,MOB,153
ABQ,MRY,6
ABQ,MSP,67733
ABQ,MSY,288
ABQ,OAK,78022
ABQ,OKC,773
ABQ,ONT,94
ABQ,ORD,191940
ABQ,PDX,40687
ABQ,PHL,366
ABQ,PHX,635349
ABQ,PIT,253
ABQ,PUW,297
ABQ,RIC,180
ABQ,RNO,515
ABQ,ROW,7
ABQ,SAF,10
ABQ,SAN,122988
ABQ,SAT,4510
ABQ,SBA,274
ABQ,SBP,119
ABQ,SEA,135816
ABQ,SFO,92581
ABQ,SGF,91
ABQ,SJC,6
ABQ,SLC,152371
ABQ,SMF,790
ABQ,SNA,276
ABQ,STL,734
ABQ,SVC,8749
ABQ,TPA,141
ABQ,TUL,16
ABQ,TUS,512
ABQ,VNY,34
ABR,IFP,179
ABR,MSP,47257
ABY,AGS,12
ABY,ATL,59231
ABY,BWI,17
ABY,LFT,48
ABY,MLI,70
ABY,SAV,17
ABY,TEB,16
ACK,ALB,33
ACK,AUG,5
ACK,BAF,12
ACK,BBX,38
ACK,BDL,115
ACK,BDR,110
ACK,BED,209
ACK,BHB,20
ACK,BID,3
ACK,BKL,10
ACK,BLM,5
ACK,BNA,4
ACK,BOS,70887
ACK,BTV,38
ACK,BUF,5
ACK,BVY,2
ACK,BWI,19
ACK,CDW,12
ACK,CHO,5
ACK,CHS,4
ACK,CLE,2
ACK,CLT,1459
ACK,CMH,1
ACK,DCA,41027
ACK,DKK,4
ACK,DXR,63
ACK,EWB,3172
ACK,EWR,19492
ACK,FID,7
ACK,FOK,60
ACK,FRG,94
ACK,GAI,19
ACK,GFL,3
ACK,GON,5
ACK,HAR,6
ACK,HFD,8
ACK,HPN,36625
ACK,HTO,174
ACK,HVN,16
ACK,HYA,11992
ACK,IAD,8
ACK,IND,2
ACK,ISP,10
ACK,JAC,6
ACK,JFK,42123
ACK,LAX,3
ACK,LCI,6
ACK,LEB,40
ACK,LEW,7
ACK,LGA,53733
ACK,LLY,2
ACK,LWM,2
ACK,MA5,3
ACK,MMN,3
ACK,MMU,61
ACK,MTP,25
ACK,MVL,39
ACK,MVY,1347
ACK,NAD,6
ACK,NH4,1
ACK,NH6,9
ACK,NJ1,6
ACK,NPT,17
ACK,NYS,15
ACK,ORD,4517
ACK,ORF,10
ACK,OWD,45
ACK,OXC,20
ACK,PA5,16
ACK,PBG,6
ACK,PBI,4
ACK,PCT,48
ACK,PDK,1
ACK,PHL,8842
ACK,PIT,73
ACK,PNE,2
ACK,PSM,8
ACK,PVD,175
ACK,PWM,13
ACK,QMN,2
ACK,RIC,2
ACK,RKD,12
ACK,ROC,9
ACK,RUT,6
ACK,SBA,7
ACK,SLK,14
ACK,SUS,5
ACK,SWF,2
ACK,SYR,2
ACK,TEB,4979
ACK,TUS,2
ACK,UIN,5
ACK,UST,14
ACK,VNY,11
ACK,VWK,13
ACK,WST,6
ACK,ZXU,11
ACT,ATL,425
ACT,ATW,74
ACT,AUS,76
ACT,BDL,102
ACT,BHM,137
ACT,BIS,72
ACT,BOS,203
ACT,BRO,49
ACT,BTR,118
ACT,CHA,71
ACT,CID,97
ACT,CKB,364
ACT,COS,316
ACT,CVG,84
ACT,DEN,333
ACT,DFW,101089
ACT,DSM,616
ACT,DTW,124
ACT,EUG,99
ACT,EYW,126
ACT,FAR,71
ACT,FOE,644
ACT,FXE,4
ACT,GEG,103
ACT,GLH,16
ACT,GSP,76
ACT,IAH,270
ACT,IFP,1239
ACT,LAX,188
ACT,LBB,402
ACT,LRD,76
ACT,MAF,65
ACT,MCI,172
ACT,MEM,271
ACT,MHK,47
ACT,MKC,213
ACT,MLI,65
ACT,MLU,54
ACT,MOB,64
ACT,MTJ,58
ACT,ORD,71
ACT,PDX,237
ACT,PNS,71
ACT,PVU,585
ACT,RAP,76
ACT,RNO,303
ACT,ROA,201
ACT,SAN,2
ACT,SAV,132
ACT,SDF,75
ACT,SFB,103
ACT,SJT,55
ACT,SJU,151
ACT,SLC,320
ACT,SLN,47
ACT,SWO,249
ACT,TRI,75
ACT,TYS,73
ACT,VNY,4
ACV,BFI,37
ACV,BUR,56343
ACV,DEN,40200
ACV,LAS,302
ACV,LAX,43927
ACV,OAK,50
ACV,SFO,123756
ACV,SLC,6
ACY,AGC,4
ACY,AGS,1022
ACY,ALB,1931
ACY,ANC,5
ACY,ATL,317
ACY,AVL,854
ACY,BCT,7
ACY,BDL,1982
ACY,BFM,447
ACY,BGM,46
ACY,BGR,220
ACY,BHM,809
ACY,BMI,338
ACY,BNA,2230
ACY,BOS,1053
ACY,BUF,4265
ACY,BWI,1637
ACY,CAE,3390
ACY,CAK,3360
ACY,CEF,671
ACY,CHA,1807
ACY,CHS,2600
ACY,CLE,3576
ACY,CLT,1541
ACY,CMH,3027
ACY,CRW,1318
ACY,CVG,1622
ACY,DAB,254
ACY,DAY,2226
ACY,DCA,163
ACY,DFW,362
ACY,DTW,7590
ACY,DXR,5
ACY,EEN,11
ACY,EWR,1604
ACY,FAY,2186
ACY,FLL,185397
ACY,FNT,1054
ACY,FOK,2
ACY,FRG,22
ACY,FWA,332
ACY,GEG,220
ACY,GNV,289
ACY,GPT,1761
ACY,GRB,540
ACY,GRR,1188
ACY,GSO,1868
ACY,GSP,931
ACY,HOU,697
ACY,HPN,263
ACY,HSV,326
ACY,HTO,16
ACY,HYA,2
ACY,IAD,272
ACY,IAH,770
ACY,ILM,2877
ACY,IND,1871
ACY,ISP,1254
ACY,JAX,1291
ACY,JFK,447
ACY,LAN,813
ACY,LAS,338
ACY,LAX,301
ACY,LBE,4151
ACY,LCI,12
ACY,LEX,1007
ACY,LGA,857
ACY,MBS,263
ACY,MCI,349
ACY,MCN,1596
ACY,MCO,256444
ACY,MDW,826
ACY,MEM,1496
ACY,MHT,1432
ACY,MIA,497
ACY,MKE,1532
ACY,MLB,291
ACY,MSN,576
ACY,MSP,306
ACY,MSY,334
ACY,MYR,85696
ACY,NPT,8
ACY,OAJ,1994
ACY,ORD,1362
ACY,ORF,2402
ACY,PBI,109550
ACY,PGV,1449
ACY,PHL,339
ACY,PHX,180
ACY,PIA,362
ACY,PIE,233
ACY,PIT,3264
ACY,PNS,220
ACY,PSF,1
ACY,PVD,876
ACY,PWM,252
ACY,RDU,4272
ACY,RFD,813
ACY,RIC,1204
ACY,ROA,1465
ACY,ROC,246
ACY,RSW,128654
ACY,SAT,103
ACY,SAV,1883
ACY,SBN,810
ACY,SDF,440
ACY,SFB,1853
ACY,SGF,140
ACY,SPI,328
ACY,SRQ,2
ACY,STL,1508
ACY,SWF,95
ACY,SYR,642
ACY,TEB,1
ACY,TOL,2042
ACY,TPA,113226
ACY,TRI,1462
ACY,TYS,1504
ACY,USA,2068
ADK,AKB,15
ADK,ANC,4365
ADK,DUT,5
ADQ,AKK,1047
ADQ,AKN,24
ADQ,ANC,156731
ADQ,DGB,298
ADQ,EGX,6
ADQ,ENA,6
ADQ,HOM,2
ADQ,ILI,9
ADQ,KCQ,7
ADQ,KFP,2
ADQ,KLN,4112
ADQ,KOZ,2643
ADQ,KYK,490
ADQ,LKK,2
ADQ,NNK,3
ADQ,OLH,4518
ADQ,ORI,2538
ADQ,SKJ,83
ADQ,SWD,2
ADS,AGS,2
ADS,AUZ,11
ADS,BCT,12
ADS,BNA,2
ADS,CAE,2
ADS,CMH,2
ADS,HOU,2
ADS,HSH,24
ADS,JAC,6
ADS,LAS,4
ADS,MDW,14
ADS,PBI,4
ADS,PHX,10
ADS,RIL,4
ADS,SDF,35
ADS,TEB,15
ADS,VNY,6
ADW,MDW,417
ADW,MIA,75
ADW,NQX,50
ADW,OKC,39
AET,AKP,188
AET,ANC,13
AET,ARC,3
AET,BTT,1493
AET,CXF,18
AET,FAI,2659
AET,FYU,3
AET,GAL,1
AET,HSL,5
AET,HUS,1093
AET,KYU,17
AET,OBU,16
AET,RBY,3
AET,RMP,1
AET,SHG,16
AET,TAL,4
AET,VEE,5
AEX,AFW,96
AEX,ATL,88518
AEX,AZA,21891
AEX,BDL,212
AEX,BED,194
AEX,BFI,129
AEX,BGR,54
AEX,BHM,52
AEX,BNA,126
AEX,BOS,75
AEX,BUF,413
AEX,BWI,314
AEX,CLT,45
AEX,CSG,7864
AEX,DAL,1222
AEX,DEN,719
AEX,DFW,87902
AEX,DQK,1904
AEX,ELP,3033
AEX,EWR,2317
AEX,FSD,119
AEX,GRB,365
AEX,GYY,1789
AEX,HOU,58
AEX,HRL,28699
AEX,IAH,1263
AEX,ICT,701
AEX,JAN,61
AEX,JAX,1388
AEX,LAS,187
AEX,LAX,1
AEX,LFT,25
AEX,LNK,79
AEX,LRD,1385
AEX,MCI,3485
AEX,MDT,6886
AEX,MIA,4258
AEX,MLU,56
AEX,MSN,486
AEX,MSP,408
AEX,MSY,272
AEX,OGD,223
AEX,OMA,391
AEX,PDX,94
AEX,PHL,117
AEX,PHX,167
AEX,POB,378
AEX,PVD,70
AEX,RIC,5834
AEX,SAN,10273
AEX,SAT,3780
AEX,SHV,457
AEX,SJU,20
AEX,SWF,193
AEX,TUS,2082
AEX,VCV,141
AEX,YKM,13
AEX,YUM,2295
AFW,ANC,841
AFW,ATL,279
AFW,AZA,26
AFW,BNA,274
AFW,BTR,35
AFW,BWI,480
AFW,CDC,269
AFW,CVG,155
AFW,DFW,203
AFW,DSM,324
AFW,EVV,65
AFW,EWR,324
AFW,FLL,305
AFW,FOE,115
AFW,FRG,266
AFW,HNL,357
AFW,HRL,65
AFW,IAH,405
AFW,LAR,292
AFW,LBB,346
AFW,LEX,351
AFW,MEM,829
AFW,MOB,336
AFW,MSL,272
AFW,MSY,360
AFW,PGV,337
AFW,PHL,330
AFW,SAT,334
AFW,SGU,238
AFW,SUX,340
AFW,SWF,330
AFW,TPA,94
AFW,XNA,326
AGC,BBX,2
AGC,CMH,1
AGC,CPS,59
AGC,CTH,6
AGC,HPN,14
AGC,IAD,18
AGC,IPT,8
AGC,ISP,16
AGC,LNK,2
AGC,MDT,3
AGC,MVY,2
AGC,PBI,6
AGC,SCE,8
AGC,SDF,2
AGN,GST,7
AGN,HNH,3
AGN,JNU,3999
AGN,TKE,508
AGS,ATL,293415
AGS,ATW,98
AGS,AUS,662
AGS,AVL,59
AGS,BCT,31
AGS,BDL,187
AGS,BIF,124
AGS,BMI,38
AGS,BOS,1624
AGS,BUF,316
AGS,BWI,28
AGS,CAE,94
AGS,CHS,76
AGS,CLE,91
AGS,CLT,200991
AGS,DCA,31659
AGS,DEN,176
AGS,DFW,48993
AGS,DHN,69
AGS,DTW,1191
AGS,EWR,164
AGS,EYW,125
AGS,FAY,64
AGS,FLL,193
AGS,FLO,93
AGS,GNV,28
AGS,GPT,3055
AGS,GSP,234
AGS,HPN,161
AGS,HTO,10
AGS,HTS,154
AGS,IAD,9
AGS,IAH,2
AGS,ILM,69
AGS,JAN,197
AGS,JAX,196
AGS,JFK,224
AGS,LGA,3885
AGS,MAF,58
AGS,MCO,116
AGS,MDT,140
AGS,MIA,1359
AGS,MOB,122
AGS,MSP,335
AGS,MYR,100
AGS,ORD,1568
AGS,ORF,261
AGS,PBI,161
AGS,PDX,194
AGS,PHL,1688
AGS,PHX,569
AGS,PIT,171
AGS,ROA,65
AGS,SAV,333
AGS,SHD,297
AGS,SHV,64
AGS,SJC,1
AGS,SLC,170
AGS,SMF,179
AGS,SRQ,65
AGS,STT,177
AGS,SYR,211
AGS,TEB,8
AGS,TLH,21
AGS,TPA,196
AGS,TUL,85
AGS,TYS,71
AHN,AUS,323
AHN,BAF,283
AHN,BNA,88
AHN,BTR,159
AHN,CHS,1
AHN,CLL,255
AHN,GNV,158
AHN,GTR,154
AHN,IND,133
AHN,JAX,321
AHN,LEX,315
AHN,MEM,159
AHN,MSY,164
AHN,SBN,76
AHN,TCL,261
AHN,TUP,246
AHN,TYS,336
AHN,XNA,182
AIA,DEN,8149
AIK,FRG,19
AIN,AKP,8
AIN,ANC,14
AIN,ATK,3301
AIN,BRW,5308
AIN,BTI,2
AIN,FAI,3
AIN,NUI,21
AIN,OBU,9
AIN,OME,36
AIN,OTZ,23
AIN,PHO,31
AIN,PIZ,202
AIN,SCC,2
AIN,SHG,9
AIN,WTK,18
AKB,CDB,4
AKB,DUT,569
AKI,ANC,5
AKI,ANI,185
AKI,ATT,10
AKI,AUK,1
AKI,BET,3307
AKI,CHU,15
AKI,CYF,1
AKI,EMK,1
AKI,KKI,664
AKI,KLG,94
AKI,KUK,2
AKI,KWN,33
AKI,KWT,240
AKI,MLL,1
AKI,MOU,1
AKI,OOK,6
AKI,PKA,37
AKI,RSH,11
AKI,SRV,1
AKI,TLT,562
AKI,WNA,5
AKK,ENA,17
AKK,KLN,2
AKK,KYK,4
AKK,OLH,80
AKK,ORI,2
AKN,ANC,60769
AKN,ANI,9
AKN,BET,28
AKN,CDB,30
AKN,CLP,1
AKN,DLG,1558
AKN,DUT,489
AKN,EGX,1093
AKN,ENA,37
AKN,HOM,282
AKN,IGG,128
AKN,ILI,172
AKN,KCG,101
AKN,KCL,110
AKN,KCQ,166
AKN,KEK,3
AKN,KKI,9
AKN,KLG,18
AKN,KLL,629
AKN,KLN,4
AKN,KMO,11
AKN,KNK,16
AKN,KNW,50
AKN,KPN,3
AKN,KPV,208
AKN,LKK,55
AKN,MCG,4
AKN,NNK,2
AKN,PIP,386
AKN,PTA,18
AKN,PTH,802
AKN,RBH,12385
AKN,SDP,282
AKN,SNP,45
AKN,TLT,7
AKN,TOG,17
AKN,UGS,123
AKN,VZY,74
AKN,WSN,217
AKP,ANC,12
AKP,ARC,6
AKP,ATK,27
AKP,BRW,246
AKP,BTI,49
AKP,BTT,492
AKP,CXF,627
AKP,ENN,4
AKP,FAI,5597
AKP,HSL,18
AKP,HUS,1
AKP,NUI,9
AKP,OTZ,19
AKP,PHO,18
AKP,PIZ,45
AKP,SCC,23
AL6,AUO,16
AL6,CMH,16
ALB,ART,46
ALB,ATL,272503
ALB,AUS,297
ALB,AZO,28
ALB,BBX,4
ALB,BDL,1015
ALB,BED,7
ALB,BGR,124
ALB,BHB,2
ALB,BMG,222
ALB,BNA,29412
ALB,BOS,2597
ALB,BTR,238
ALB,BTV,123
ALB,BUF,598
ALB,BWI,435419
ALB,BZN,147
ALB,CAE,100
ALB,CHA,133
ALB,CHS,137
ALB,CID,116
ALB,CKB,251
ALB,CLE,282
ALB,CLT,290663
ALB,CMH,95
ALB,CMI,43
ALB,CVG,63
ALB,DCA,132670
ALB,DEN,55037
ALB,DFW,87084
ALB,DSM,109
ALB,DTW,193820
ALB,EUG,159
ALB,EWR,68095
ALB,FLL,108217
ALB,FLO,99
ALB,FWA,39
ALB,GBR,3
ALB,GSO,429
ALB,GSP,139
ALB,HPN,147
ALB,HTO,15
ALB,IAD,115070
ALB,IAH,481
ALB,IND,225
ALB,ISP,2
ALB,JAX,282
ALB,JFK,1503
ALB,LAS,21277
ALB,LAX,329
ALB,LGA,66105
ALB,MA3,6
ALB,MA4,10
ALB,MCI,62
ALB,MCN,146
ALB,MCO,297562
ALB,MDT,38
ALB,MDW,190661
ALB,MEM,23
ALB,MIA,2616
ALB,MKE,99
ALB,MSP,497
ALB,MVY,4
ALB,MYR,32891
ALB,ORD,303290
ALB,ORF,21
ALB,ORH,8
ALB,PBI,329
ALB,PCT,8
ALB,PDX,164
ALB,PGD,41962
ALB,PHF,253
ALB,PHL,100366
ALB,PHX,430
ALB,PIE,38978
ALB,PIT,670
ALB,PSM,12
ALB,PUW,219
ALB,PVD,285
ALB,PWM,296
ALB,RDU,20866
ALB,RIC,205
ALB,ROA,33
ALB,ROC,414
ALB,RSW,1336
ALB,SAT,123
ALB,SBN,312
ALB,SDF,8
ALB,SFB,25690
ALB,SFO,456
ALB,SJU,139
ALB,SLC,171
ALB,SLN,94
ALB,STL,239
ALB,SYR,1498
ALB,TEB,15
ALB,TPA,47281
ALB,TYS,241
ALB,USA,3091
ALE,TN8,8
ALO,BWI,109
ALO,DCA,328
ALO,FAR,251
ALO,GFK,252
ALO,IFP,1612
ALO,LAN,36
ALO,MKE,32
ALO,ORD,22707
ALO,SGF,251
ALO,YIP,42
ALO,YNG,248
ALS,DEN,24071
ALW,BFI,43
ALW,PAE,1
ALW,SEA,72838
ALW,TIW,25
ALZ,AOS,5
ALZ,KMY,31
ALZ,KOY,4
AMA,AUS,49237
AMA,BNA,61
AMA,BOS,175
AMA,BWI,492
AMA,CHS,299
AMA,CMH,75
AMA,COS,594
AMA,DAB,157
AMA,DAL,251240
AMA,DEN,55794
AMA,DFW,294068
AMA,DSM,76
AMA,DTW,179
AMA,ECP,126
AMA,EGE,116
AMA,ELP,171
AMA,FAR,143
AMA,FAT,181
AMA,FLL,139
AMA,GEG,127
AMA,HDN,224
AMA,HOU,11186
AMA,HSH,8
AMA,IAH,81614
AMA,ICT,132
AMA,IFP,1368
AMA,LAS,79059
AMA,LAW,111
AMA,LAX,256
AMA,LBB,318
AMA,LGA,173
AMA,LIT,139
AMA,MAF,350
AMA,MCI,111
AMA,MCO,474
AMA,MDW,402
AMA,MKE,172
AMA,MSN,114
AMA,MSY,160
AMA,OAK,128
AMA,OKC,657
AMA,OMA,211
AMA,ONT,146
AMA,ORD,142
AMA,PDX,175
AMA,PHX,674
AMA,PNS,151
AMA,RDU,319
AMA,RNO,132
AMA,SAT,77
AMA,SEA,244
AMA,SJC,300
AMA,SLC,341
AMA,SMF,312
AMA,SPS,76
AMA,STL,173
AMA,TPA,170
AMA,VIS,3
ANB,LYH,27
ANC,ANI,3900
ANC,ANV,344
ANC,ARC,5
ANC,ATL,37998
ANC,AUK,15
ANC,AUS,134
ANC,BET,166047
ANC,BRW,69346
ANC,BTT,2
ANC,BVU,405
ANC,CDB,6456
ANC,CDV,43612
ANC,CHU,29
ANC,CIK,8
ANC,CKD,7
ANC,COS,122
ANC,DEN,158219
ANC,DFW,131785
ANC,DLG,49307
ANC,DLH,295
ANC,DTW,14551
ANC,DUT,37001
ANC,EEK,15
ANC,EGX,46
ANC,ELI,11
ANC,EMK,24
ANC,ENA,145523
ANC,EWR,24559
ANC,FAI,371079
ANC,FAR,269
ANC,GAL,205
ANC,GAM,20
ANC,GEG,245
ANC,GKN,272
ANC,GLV,2
ANC,GNU,40
ANC,HCR,34
ANC,HNL,105682
ANC,HOM,33634
ANC,HPB,22
ANC,HSL,3
ANC,IAD,23527
ANC,IAH,30163
ANC,IGG,64
ANC,ILI,4175
ANC,JFK,16860
ANC,JNU,237730
ANC,JZE,15
ANC,KAL,5
ANC,KFP,4
ANC,KGK,9
ANC,KGX,16
ANC,KKA,4
ANC,KLG,35
ANC,KLN,340
ANC,KNK,1779
ANC,KOA,25048
ANC,KSM,3024
ANC,KTS,10
ANC,KVC,5
ANC,LAS,33247
ANC,LAX,97205
ANC,LKK,1089
ANC,LVD,24
ANC,MCG,2846
ANC,MDO,11
ANC,MHM,3
ANC,MKE,309
ANC,MLL,57
ANC,MOU,21
ANC,MSP,248240
ANC,MYU,6
ANC,N1C,209
ANC,NLG,115
ANC,NNL,485
ANC,OGG,7776
ANC,OLH,18
ANC,OME,84736
ANC,OOK,16
ANC,ORD,216934
ANC,OTZ,69168
ANC,PAE,12472
ANC,PDB,92
ANC,PDX,170862
ANC,PHO,58
ANC,PHX,101812
ANC,PIP,4
ANC,PML,257
ANC,PSG,59
ANC,PTA,29
ANC,PTU,16
ANC,QQB,11
ANC,RDB,24767
ANC,RSH,7
ANC,SAN,5180
ANC,SCC,189074
ANC,SCM,8
ANC,SDP,7847
ANC,SEA,2034902
ANC,SFO,67336
ANC,SHH,16
ANC,SHX,20
ANC,SIT,1522
ANC,SKF,23
ANC,SKK,20
ANC,SKW,7
ANC,SLC,32486
ANC,SLQ,1
ANC,SMK,6
ANC,SNP,73
ANC,SRV,2
ANC,STP,3
ANC,SVA,21
ANC,SWD,9
ANC,SWF,5
ANC,SXP,7
ANC,SXQ,36
ANC,TKJ,37
ANC,TLA,12
ANC,TLT,14
ANC,TOG,703
ANC,UNK,6692
ANC,VAK,5
ANC,VDZ,5857
ANC,VNY,14
ANC,VZY,230
ANC,WBB,14
ANC,WMO,7
ANC,WWT,1
ANC,YAK,330
AND,PWM,11
AND,SBN,30
AND,SRQ,10
ANI,ANV,122
ANI,ATT,4
ANI,BET,2587
ANI,CHU,390
ANI,CKD,296
ANI,EEK,1
ANI,EMK,8
ANI,GAL,6
ANI,HCR,540
ANI,HPB,13
ANI,ILI,2
ANI,KGX,299
ANI,KKI,232
ANI,KLG,1476
ANI,KSM,18
ANI,KWT,33
ANI,MCG,10
ANI,MLL,32
ANI,MOU,2
ANI,NIB,11
ANI,NUP,1
ANI,OOK,6
ANI,PKA,12
ANI,PQS,4
ANI,RDV,44
ANI,RSH,318
ANI,SHX,178
ANI,SLQ,66
ANI,SNP,23
ANI,SRV,39
ANI,TLT,224
ANI,UNK,2
ANI,WNA,5
ANI,WTL,1
ANP,BED,7
ANP,CMH,6
ANP,HPN,7
ANP,PCT,1
ANP,TEB,3
ANV,BET,78
