origin_iata,dest_iata,annual_pax
01A,A43,18
05A,FAI,1
06A,A43,119
09A,ADQ,67
09A,KLN,6
09A,ORI,3
1B1,ACK,5
1B1,FOK,15
1B1,N8C,8
1B1,PNE,22
1B1,SHV,7
1B1,SJU,2
1B1,SYR,11
1CT,LNS,8
1G4,BLD,19857
1G4,DQS,4
1G4,GCN,16
1G4,PGA,17
1N7,VA8,7
1NY,ANP,1
1NY,BDR,9
1NY,BLM,2
1NY,BWI,1
1NY,JFK,1
1NY,PCT,1
1TX,MQY,2
1TX,PHX,2
2AK,PTD,2
2AK,SIT,6
2FL,CRG,4
2FL,TPF,2
2FL,VDI,6
2GA,IN2,7
2GA,RSW,6
2GA,SUA,6
2NJ,LRU,4
2NY,MTP,43
2NY,OWD,3
2PA,JRA,9
2PA,PHL,6
2PA,TSS,9
2WA,FBS,337
2WA,KEH,129
2WA,RCE,319
3FL,OPF,14
3FL,TMB,8
3NJ,JRA,3
3NJ,TSS,7
3VA,HVN,2
3VA,MMU,2
4CL,SEE,51
4NC,PWK,20
5CA,SEE,14
5FL,BCT,6
5NJ,HTO,4
5PA,BWI,10
6AK,BET,208
6AK,NME,2
6AK,OOK,3
6AK,TNK,2
6AK,WWT,249
6B0,BDL,2
6B0,BHB,6
6B0,BOS,3
6B0,CT1,7
6B0,HPN,3
6B0,HTO,5
6B0,MMU,5
6CA,SFO,8
6CA,SQL,8
6PA,BBX,3
6PA,LNS,3
7AK,CDB,5
7AK,DUT,1960
7AK,KFP,4
7AK,KQA,2484
7AK,SDP,13
7AK,STG,2
A01,FAI,175
A03,A43,208
A03,HOM,86
A04,A43,10
A06,LSR,4
A06,OME,4
A17,A43,16
A26,BTT,12
A26,CXF,9
A26,FAI,37
A27,FAI,108
A29,A43,165
A30,A43,6
A34,A43,12
A43,A50,4
A43,A65,17
A43,A75,7
A43,A76,7
A43,A87,2
A43,AKK,7
A43,ALZ,59
A43,AOS,58
A43,BFB,9
A43,DGB,287
A43,EHR,38
A43,JLA,55
A43,KKB,188
A43,KKL,4
A43,KLN,33
A43,KMY,33
A43,KOY,67
A43,KOZ,15
A43,KPR,19
A43,KPY,65
A43,KWP,54
A43,KZB,84
A43,OLH,3
A43,ONN,34
A43,ORI,6
A43,SKJ,4
A43,SYB,247
A43,UGB,4
A43,UGI,44
A43,WQX,3
A52,HOM,81
A5K,DJN,2
A5K,GKN,10
A5K,MTX,3
A63,EAA,23
A63,FAI,13
A65,JLA,5
A6K,FAI,5
A72,HOM,461
AA8,SCC,10
AAF,MQY,12
AAF,OCF,3
ABE,ACK,10
ABE,ALB,378
ABE,ANC,158
ABE,ATL,130305
ABE,AVP,235
ABE,BCT,29
ABE,BDL,37
ABE,BDR,6
ABE,BHM,64
ABE,BNA,28309
ABE,BOS,176
ABE,BTV,138
ABE,CHA,56
ABE,CHO,63
ABE,CLE,75
ABE,CLT,134933
ABE,CMH,9
ABE,CVG,307
ABE,DAY,105
ABE,DCA,203
ABE,DEN,26001
ABE,DSM,68
ABE,DTW,176
ABE,EWR,2170
ABE,FAY,60
ABE,FLL,26379
ABE,GPT,1043
ABE,GRR,137
ABE,GSO,364
ABE,GSP,256
ABE,HDN,11
ABE,HPN,178
ABE,IAH,446
ABE,ICT,163
ABE,IFP,602
ABE,IND,64
ABE,ITH,27
ABE,JAX,157
ABE,JFK,143
ABE,LEB,4
ABE,LGA,760
ABE,LWS,302
ABE,MCI,150
ABE,MCO,20111
ABE,MDT,68
ABE,MEM,42
ABE,MHT,35
ABE,MKE,199
ABE,MLB,29950
ABE,MSN,68
ABE,MSP,107
ABE,MVY,4
ABE,MYR,55861
ABE,ONT,180
ABE,ORD,58353
ABE,ORF,10
ABE,PBI,48
ABE,PGD,61878
ABE,PHL,562
ABE,PIE,84199
ABE,PIT,225
ABE,RIC,44
ABE,RNO,519
ABE,SAT,238
ABE,SBN,62
ABE,SCE,35
ABE,SDF,323
ABE,SFB,201371
ABE,SHV,19
ABE,SNA,121
ABE,SRQ,31810
ABE,SYR,71
ABE,TMB,10
ABE,TPA,138
ABE,TVC,72
ABE,TYS,171
ABE,XNA,75
ABI,ABQ,72
ABI,AEX,342
ABI,AGS,61
ABI,AMA,80
ABI,ATL,433
ABI,AZA,377
ABI,BED,284
ABI,BIS,72
ABI,BNA,272
ABI,BZN,26
ABI,CDC,256
ABI,CHA,73
ABI,CMI,60
ABI,COS,159
ABI,CSG,85
ABI,DFW,184067
ABI,ELP,345
ABI,FAR,398
ABI,FLG,126
ABI,FNL,257
ABI,GRK,44
ABI,HRL,249
ABI,IAH,145
ABI,ICT,42
ABI,IFP,1044
ABI,LBB,66
ABI,LEX,276
ABI,LRD,171
ABI,MAF,72
ABI,MFE,71
ABI,MGM,59
ABI,MHK,126
ABI,MLI,68
